repository,repo_id,content_type,template_type,timestamp,file_path,section_name,header_pattern,is_meaningful_content,importance,importance_numeric,reason,manual_eval,TP,FP,FN,TN
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,What happens?,### What happens?,TRUE,high,1,"This section asks for a description of the actual problem, which is core to understanding the issue.",1,1,0,0,0
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,What *should* happen?,### What *should* happen?,TRUE,high,1,"This section requests the expected behavior, which is essential for clarifying the nature of the bug.",1,1,0,0,0
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,What are you using?,### What are you using?,FALSE,low,0,"This is a grouping header for metadata about the environment, not about the substantive issue.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,What hardware / device and operating system?,#### What hardware / device and operating system?,FALSE,low,0,"This section collects metadata about the user's hardware and OS, not about the issue itself.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,What graphics card or mobile phone model?,#### What graphics card or mobile phone model?,FALSE,low,0,"This section is for metadata about the device's GPU or phone model, not the bug's content.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,"What PPSSPP version, and did it work before?","#### What PPSSPP version, and did it work before?",FALSE,low,0,"This section is for version metadata and regression info, not a description of the issue itself.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,Which game or games?,#### Which game or games?,FALSE,low,0,"This section collects metadata about the affected games, not the substantive content of the issue.",1,0,0,1,0
hrydgard.ppsspp,10,issue,bug,2021-03-14 10:12:29,.github/ISSUE_TEMPLATE/bug.md,Checklist,#### Checklist,FALSE,low,0,"This section is a procedural checklist to ensure proper reporting, not about the actual bug or change.",0,0,0,0,1
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,Game or games this happens in,## Game or games this happens in,TRUE,high,1,"This section identifies the specific game(s) affected, which is essential to understanding the scope of the issue.",1,1,0,0,0
hrydgard.ppsspp,10,issue,bug,2021-07-31 22:28:09,.github/ISSUE_TEMPLATE/bug.yml,What area of the game / PPSSPP,## What area of the game / PPSSPP,TRUE,high,1,"This section describes the exact scenario or steps to reproduce the issue, providing crucial context.",1,1,0,0,0
